,DANE OCURRENCIA,TOTAL,DPNOM,MPIO,2005
942,76828,226,Valle del Cauca,Trujillo,18676
943,76834,953,Valle del Cauca,Tuluá,187249
944,76845,36,Valle del Cauca,Ulloa,5742
945,76863,48,Valle del Cauca,Versalles,8283
946,76869,32,Valle del Cauca,Vijes,9781
947,76890,19,Valle del Cauca,Yotoco,15573
948,76892,52,Valle del Cauca,Yumbo,92214
949,76895,69,Valle del Cauca,Zarzal,40968
950,8001,434,Atlántico,Barranquilla,1146498
951,8078,57,Atlántico,Baranoa,51565
952,81001,3007,Arauca,Arauca,75568
953,81065,471,Arauca,Arauquita,36745
954,81220,614,Arauca,Cravo Norte,3661
955,81300,185,Arauca,Fortul,21851
956,8137,23,Atlántico,Campo de La Cruz,19118
957,8141,9,Atlántico,Candelaria,12030
958,81591,196,Arauca,Puerto Rondón,3962
959,81736,843,Arauca,Saravena,42766
960,81794,4023,Arauca,Tame,47576
961,8296,19,Atlántico,Galapa,31985
962,8372,3,Atlántico,Juan de Acosta,14578
963,8421,169,Atlántico,Luruaco,23559
964,8433,43,Atlántico,Malambo,101280
965,8436,8,Atlántico,Manatí,13810
966,85001,818,Casanare,Yopal,106762
967,85010,593,Casanare,Aguazul,28319
968,85015,780,Casanare,Chameza,1820
969,85125,441,Casanare,Hato Corozal,10091
970,85136,6,Casanare,La Salina,1310
971,85139,135,Casanare,Maní,11176
972,85162,346,Casanare,Monterrey,12740
973,8520,11,Atlántico,Palmar de Varela,23678
974,85225,198,Casanare,Nunchía,8420
975,85230,116,Casanare,Orocué,7717
976,85250,615,Casanare,Paz de Ariporo,27122
977,85263,413,Casanare,Pore,7974
978,85279,368,Casanare,Recetor,2608
979,85300,13,Casanare,Sabanalarga,3434
980,85315,92,Casanare,Sácama,1706
981,85325,87,Casanare,San Luis de Palenque,7423
982,85400,167,Casanare,Támara,7120
983,85410,570,Casanare,Tauramena,16239
984,85430,170,Casanare,Trinidad,11501
985,85440,160,Casanare,Villanueva,21794
986,8549,31,Atlántico,Piojó,5026
987,8558,7,Atlántico,Polonuevo,13901
988,8560,19,Atlántico,Ponedera,18944
989,8573,13,Atlántico,Puerto Colombia,27825
990,86001,1399,Putumayo,Mocoa,35755
991,8606,126,Atlántico,Repelón,22875
992,86219,56,Putumayo,Colón,5166
993,86320,4656,Putumayo,Orito,43654
994,8634,96,Atlántico,Sabanagrande,25399
995,8638,91,Atlántico,Sabanalarga,86623
996,86568,5203,Putumayo,Puerto Asís,55759
997,86569,3237,Putumayo,Puerto Caicedo,14206
998,86571,3975,Putumayo,Puerto Guzmán,22679
999,86573,981,Putumayo,Leguízamo,16044
1000,86749,185,Putumayo,Sibundoy,13270
1001,8675,6,Atlántico,Santa Lucía,12423
1002,86755,134,Putumayo,San Francisco,6808
1003,86757,2595,Putumayo,San Miguel,21838
1004,86760,158,Putumayo,Santiago,9209
1005,8685,6,Atlántico,Santo Tomás,23877
1006,86865,6237,Putumayo,Valle del Guamuez,44959
1007,86885,2240,Putumayo,Villagarzón,20785
1008,8758,88,Atlántico,Soledad,461603
1009,8770,4,Atlántico,Suan,9702
1010,88001,14,Archipiélago de San Andrés,San Andrés,65627
1011,8832,9,Atlántico,Tubará,10912
1012,8849,4,Atlántico,Usiacurí,8809
1013,91001,23,Amazonas,Leticia,37832
1014,91263,7,Amazonas,El Encanto (ANM),4376
1015,91405,7,Amazonas,La Chorrera (ANM),3337
1016,91407,7,Amazonas,La Pedrera (ANM),3711
1017,91530,15,Amazonas,Puerto Alegría (ANM),1277
1018,91536,24,Amazonas,Puerto Arica (ANM),1440
1019,91669,18,Amazonas,Puerto Santander (ANM),2373
1020,91798,12,Amazonas,Tarapacá (ANM),3775
1021,94001,119,Guainía,Inírida,17866
1022,94343,219,Guainía,Barranco Minas (ANM),4384
1023,94663,18,Guainía,Mapiripana (ANM),3072
1024,94884,1,Guainía,Puerto Colombia (ANM),3753
1025,95001,4942,Guaviare,San José del Guaviare,53994
1026,95015,1119,Guaviare,Calamar,11183
1027,95025,1492,Guaviare,El Retorno,19063
1028,95200,586,Guaviare,Miraflores,11311
1029,97001,252,Vaupés,Mitú,28382
1030,97161,81,Vaupés,Caruru,3242
1031,97511,4,Vaupés,Pacoa (ANM),4459
1032,97666,16,Vaupés,Taraira,1048
1033,99001,311,Vichada,Puerto Carreño,13288
1034,99524,177,Vichada,La Primavera,10616
1035,99624,82,Vichada,Santa Rosalía,3250
1036,99773,645,Vichada,Cumaribo,28718
